window_id	label	organism	split
ecoli_K12_MG1655_rbs_positive_UNSD_0	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_1	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_2	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_3	positive_UNSD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_UNSD_4	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_5	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_6	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_7	positive_UNSD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_8	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_9	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_10	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_11	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_12	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_13	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_14	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_15	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_16	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_17	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_18	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_19	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_20	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_21	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_22	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_UNSD_23	positive_UNSD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_24	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_25	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_26	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_27	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_28	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_29	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_30	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_31	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_32	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_33	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_34	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_35	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_36	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_37	positive_UNSD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_38	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_39	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_40	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_41	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_42	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_43	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_44	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_45	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_46	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_47	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_48	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_49	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_50	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_51	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_52	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_53	positive_UNSD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_54	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_55	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_UNSD_56	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_57	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_58	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_59	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_60	positive_UNSD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_UNSD_61	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_62	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_63	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_64	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_65	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_66	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_67	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_68	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_69	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_70	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_71	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_UNSD_72	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_73	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_74	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_75	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_76	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_77	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_78	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_79	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_80	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_81	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_82	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_83	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_84	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_85	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_86	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_87	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_SD_88	positive_SD	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rbs_positive_UNSD_89	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_90	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_91	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_92	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_93	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_94	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_95	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_UNSD_96	positive_UNSD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_97	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_98	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_99	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_100	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_101	positive_SD	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rbs_positive_SD_102	positive_SD	ecoli_K12_MG1655	train
