window_id	label	organism	split
ecoli_K12_MG1655_rho_positive_rho_t1_0	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_1	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_2	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_3	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_4	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_5	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_6	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_7	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_8	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_9	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_10	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_11	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_12	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_13	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_14	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_15	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_16	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_17	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_18	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_19	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_20	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_21	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_22	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_23	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_24	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_25	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_26	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_27	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_28	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_29	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_30	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_31	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_32	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_33	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_34	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_35	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_36	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_37	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_38	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_39	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_40	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_41	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_42	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_43	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_44	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_45	positive_rho_t1	ecoli_K12_MG1655	val
ecoli_K12_MG1655_rho_positive_rho_t1_46	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_47	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_48	positive_rho_t1	ecoli_K12_MG1655	train
ecoli_K12_MG1655_rho_positive_rho_t1_49	positive_rho_t1	ecoli_K12_MG1655	train
