window_id	label	organism	split
ecoli_K12_MG1655_prom_pos_0	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_1	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_2	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_3	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_4	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_5	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_6	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_7	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_8	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_9	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_10	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_11	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_12	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_13	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_14	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_15	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_16	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_17	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_18	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_19	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_20	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_21	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_22	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_23	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_24	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_25	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_26	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_27	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_28	positive	ecoli_K12_MG1655	train
ecoli_K12_MG1655_prom_pos_29	positive	ecoli_K12_MG1655	val
ecoli_K12_MG1655_prom_pos_30	positive	ecoli_K12_MG1655	train
