window_id	cluster_rep	organism	phylum	label
ecoli_K12_MG1655_rho_positive_rho_t1_0	ecoli_K12_MG1655_rho_positive_rho_t1_0	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_1	ecoli_K12_MG1655_rho_positive_rho_t1_1	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_10	ecoli_K12_MG1655_rho_positive_rho_t1_10	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_100	ecoli_K12_MG1655_rho_positive_rho_t1_100	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_101	ecoli_K12_MG1655_rho_positive_rho_t1_101	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_102	ecoli_K12_MG1655_rho_positive_rho_t1_102	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_103	ecoli_K12_MG1655_rho_positive_rho_t1_103	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_104	ecoli_K12_MG1655_rho_positive_rho_t1_104	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_105	ecoli_K12_MG1655_rho_positive_rho_t1_105	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_106	ecoli_K12_MG1655_rho_positive_rho_t1_106	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_107	ecoli_K12_MG1655_rho_positive_rho_t1_107	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_108	ecoli_K12_MG1655_rho_positive_rho_t1_108	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_109	ecoli_K12_MG1655_rho_positive_rho_t1_109	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_11	ecoli_K12_MG1655_rho_positive_rho_t1_11	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_110	ecoli_K12_MG1655_rho_positive_rho_t1_110	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_111	ecoli_K12_MG1655_rho_positive_rho_t1_111	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_112	ecoli_K12_MG1655_rho_positive_rho_t1_112	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_113	ecoli_K12_MG1655_rho_positive_rho_t1_113	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_114	ecoli_K12_MG1655_rho_positive_rho_t1_114	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_115	ecoli_K12_MG1655_rho_positive_rho_t1_115	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_116	ecoli_K12_MG1655_rho_positive_rho_t1_116	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_117	ecoli_K12_MG1655_rho_positive_rho_t1_117	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_118	ecoli_K12_MG1655_rho_positive_rho_t1_118	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_119	ecoli_K12_MG1655_rho_positive_rho_t1_119	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_12	ecoli_K12_MG1655_rho_positive_rho_t1_12	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_120	ecoli_K12_MG1655_rho_positive_rho_t1_120	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_121	ecoli_K12_MG1655_rho_positive_rho_t1_121	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_122	ecoli_K12_MG1655_rho_positive_rho_t1_122	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_123	ecoli_K12_MG1655_rho_positive_rho_t1_123	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_124	ecoli_K12_MG1655_rho_positive_rho_t1_124	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_125	ecoli_K12_MG1655_rho_positive_rho_t1_125	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_126	ecoli_K12_MG1655_rho_positive_rho_t1_126	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
