window_id	cluster_rep	organism	phylum	label
bsubtilis_168_rbs_positive_SD_0	bsubtilis_168_rbs_positive_SD_0	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1	bsubtilis_168_rbs_positive_SD_1	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_10	bsubtilis_168_rbs_positive_SD_10	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_100	bsubtilis_168_rbs_positive_SD_100	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1000	bsubtilis_168_rbs_positive_SD_1000	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1001	bsubtilis_168_rbs_positive_SD_1001	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1002	bsubtilis_168_rbs_positive_SD_1002	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1003	bsubtilis_168_rbs_positive_SD_1003	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1004	bsubtilis_168_rbs_positive_SD_1004	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1005	bsubtilis_168_rbs_positive_SD_1005	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1006	bsubtilis_168_rbs_positive_SD_4200	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1007	bsubtilis_168_rbs_positive_SD_1007	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1008	bsubtilis_168_rbs_positive_SD_1008	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1009	bsubtilis_168_rbs_positive_SD_1009	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_101	bsubtilis_168_rbs_positive_SD_101	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1010	bsubtilis_168_rbs_positive_SD_1010	bsubtilis_168	Firmicutes	positive_SD
bsubtilis_168_rbs_positive_SD_1011	bsubtilis_168_rbs_positive_SD_1011	bsubtilis_168	Firmicutes	positive_SD
