window_id	cluster_rep	organism	phylum
bsubtilis_168_prom_pos_0	bsubtilis_168_prom_pos_1	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_1	bsubtilis_168_prom_pos_1	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_10	bsubtilis_168_prom_pos_10	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_100	bsubtilis_168_prom_pos_100	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_101	bsubtilis_168_prom_pos_101	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_102	bsubtilis_168_prom_pos_102	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_103	bsubtilis_168_prom_pos_103	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_104	bsubtilis_168_prom_pos_104	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_105	bsubtilis_168_prom_pos_105	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_106	bsubtilis_168_prom_pos_106	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_107	bsubtilis_168_prom_pos_107	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_108	bsubtilis_168_prom_pos_108	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_109	bsubtilis_168_prom_pos_109	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_11	bsubtilis_168_prom_pos_11	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_110	bsubtilis_168_prom_pos_110	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_111	bsubtilis_168_prom_pos_111	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_112	bsubtilis_168_prom_pos_112	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_113	bsubtilis_168_prom_pos_113	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_114	bsubtilis_168_prom_pos_114	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_115	bsubtilis_168_prom_pos_115	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_116	bsubtilis_168_prom_pos_116	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_117	bsubtilis_168_prom_pos_117	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_118	bsubtilis_168_prom_pos_118	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_119	bsubtilis_168_prom_pos_119	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_12	bsubtilis_168_prom_pos_12	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_120	bsubtilis_168_prom_pos_120	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_121	bsubtilis_168_prom_pos_121	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_122	bsubtilis_168_prom_pos_122	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_123	bsubtilis_168_prom_pos_123	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_124	bsubtilis_168_prom_pos_124	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_125	bsubtilis_168_prom_pos_125	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_126	bsubtilis_168_prom_pos_127	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_127	bsubtilis_168_prom_pos_127	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_128	bsubtilis_168_prom_pos_128	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_129	bsubtilis_168_prom_pos_130	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_13	bsubtilis_168_prom_pos_13	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_130	bsubtilis_168_prom_pos_130	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_131	bsubtilis_168_prom_pos_131	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_132	bsubtilis_168_prom_pos_133	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_133	bsubtilis_168_prom_pos_133	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_134	bsubtilis_168_prom_pos_134	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_135	bsubtilis_168_prom_pos_135	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_136	bsubtilis_168_prom_pos_136	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_137	bsubtilis_168_prom_pos_137	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_138	bsubtilis_168_prom_pos_138	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_139	bsubtilis_168_prom_pos_140	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_14	bsubtilis_168_prom_pos_14	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_140	bsubtilis_168_prom_pos_140	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_141	bsubtilis_168_prom_pos_141	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_142	bsubtilis_168_prom_pos_142	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_143	bsubtilis_168_prom_pos_143	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_144	bsubtilis_168_prom_pos_144	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_145	bsubtilis_168_prom_pos_145	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_146	bsubtilis_168_prom_pos_146	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_147	bsubtilis_168_prom_pos_147	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_148	bsubtilis_168_prom_pos_148	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_149	bsubtilis_168_prom_pos_149	bsubtilis_168	Firmicutes
